question,answer
"partir de","abfahren von"
"arriver à","ankommen in/an"
"le départ","die Abfahrt, Abreise"
"une arrivée","eine Ankunft, eine Anreise"
"un aller simple","die einfache Fahrt, die Hinfahrt"
"un aller-retour","die Hin- und Rückfahrt"
"le passager","der Passagier"
"le billet","das Ticket"
"être valable pour","gültig sein für"
"le guichet","der Schalter"
"une agence de voyage","ein Reisebüro"
"une offre","ein Angebot, eine Offerte"
"le prospectus","der Prospekt"
"les préparatifs","die Vorbereitungen"
"préparer qn/qc","jn/etw. vorbereiten"
"préférer faire qc","vorziehen etw. zu tun"
"préliminaire","vorbereitend"
"s'informer sur qn/qc","sich über jn/etw. informieren"
"un horaire","ein Fahrplan, ein Flugplan"
"la destination","das Ziel, der Bestimmungsort"
"la réservation","die Reservation"
"réserver qc","etw. reservieren"
"une annulation","eine Absage, eine Stornierung"
"annuler qc","etw. absagen, annullieren, abbrechen, stornieren"
"la confirmation","die Bestätigung"
"confirmer qc à qn","jm etw. bestätigen"
"la réception","der Empfang, die Rezeption"
"recevoir qn/qc","jn/etw. empfangen"
"payer qc comptant","etw. bar bezahlen"
"s'amuser avec qn/qc","sich mit jm/etw. vergnügen"
"avoir congé","frei haben"
"être en vacances","in den Ferien sein"
"passer ses vacances","seine Ferien verbringen"
"à la mer","am Meer"
"à la plage","am Strand"
"à la montagne","in den Bergen"
"à la campagne","auf dem Land"
"en ville","in der Stadt"
"les bagages","das Gepäck"
"faire ses bagages","seine Koffer packen"
"la valise","der Koffer"
"le sac à dos","der Rucksack"
"le sac à main","die Handtasche"
"le bureau des objets trouvés","das Fundbüro"
"aller à vélo","mit dem Fahrrad fahren"
"aller à moto","mit dem Motorrad fahren"
"aller à pied","zu Fuss gehen"
"aller en train","mit dem Zug fahren"
"aller en autobus","mit dem Bus fahren"
"aller en avion","mit dem Flugzeug fliegen"
"aller en voiture","mit dem Auto fahren"
"aller en taxi","mit dem Taxi fahren"
"aller en bac","mit der Fähre fahren"
"aller en métro","mit der Metro fahren"
"la croisière","die Kreuzfahrt"
"décoller","abheben"
"atterrir qc","etw. landen"
"le vol","der Flug"
"voler qc","etw. fliegen"
"prendre une autoroute","eine Autobahn nehmen"
"un embouteillage","ein Stau"
"la sortie","der Ausgang, die Ausfahrt"
