question,answer
"la preuve","der Beweis"
"prouver qc (à qn)","(jm) etw. beweisen"
"la loi","das Gesetz"
"le jugement","das Urteil"
"la justice","die Gerechtigkeit"
"juste","gerecht"
"une injustice","eine Ungerechtigkeit"
"injuste","ungerecht"
"la condamnation","die Verurteilung"
"condamner qn à qc","jn zu etw. verurteilen"
"la peine","die Strafe"
"la peine de prison","die Gefängnisstrafe"
"une amende","eine Busse"
"la réaction","die Reaktion"
"réagir à qn/qc","auf jn/etw. reagieren"
"la manifestation","die Demonstration"
"le manifestant","der Demonstrant"
"le comportement","das Verhalten"
"se comporter","sich verhalten"
"s'inquiéter pour qn/de qc","sich beunruhigen, sich Sorgen machen"
"aider qn","jm helfen"
"s'occuper de qn/qc","sich um jn/etw. kümmern"
"une influence","ein Einfluss"
"influencer qn/qc","jm/etw. beeinflussen"
"avoir un objectif","ein Ziel haben"
"être l'objectif","das Ziel sein"
"être en conflit avec qn/qc","mit jm im Streit liegen, mit etw. zusammenstossen"
"avoir pitié de qn","mit jm Mitleid haben"
"encourager qn à qc","jn zu etw. ermutigen"
"se décourager","den Mut verlieren"
"décourager qn (de qc)","jn entmutigen, (jn von etw. abbringen)"
"garantir la sécurité","die Sicherheit garantieren"
"être la raison","der Grund sein"
"la solution","die Lösung"
"s'adapter à qn/qc","sich an jm/etw. anpassen"
"soutenir qn/qc","jn/etw. unterstützen"
"être responsable de qn/qc","für jn/etw. verantwortlich sein"
"la responsabilité","die Verantwortung"
"la protection","der Schutz"
"protéger qn/qc","jn/etw. schützen"
"prendre des mesures","Massnahmen ergreifen"
"une augmentation","eine Zunahme, eine Erhöhung"
"augmenter","steigen, wachsen, erhöhen"
"la réduction","die Abnahme"
"réduire qc","etw. reduzieren"
"baisser","sinken, abnehmen"
"une intégration","eine Integration"
"s'intégrer (à/dans qc)","sich (in etw.) integrieren"
"exclu","ausgegrenzt"
"une exclusion","eine Ausgrenzung"
"avoir un problème","ein Problem haben"
"le respect","der Respekt"
"respecter qn/qc","jn/etw. respektieren"
"la tolérance","die Toleranz"
"tolérer qn/qc","jn/etw. tolerieren"
"accepter qn/qc","jn/etw. akzeptieren"
"un adolescent","ein Jugendlicher"
"un jeune","ein Jugendlicher"
"la société","die Gesellschaft"
"le changement","die Veränderung"
"changer","sich verändern"
"changer de qc","etw. ändern"
"subir qc","etw. erleiden, ertragen"
"la lutte","der Kampf"
"le cercle vicieux","der Teufelskreis"
"interpeler qn","jn vorläufig festnehmen"
"une interpellation","eine vorläufige Festnahme"
"la garde à vue","der Polizeigewahrsam"
